# timestamp, x, y, z, qx, qy, qz, qw
0.000000, -0.313256, -4.978914, 0.000000, 0.706758, 0.022211, 0.022211, 0.706758
50000000.000000, -0.626512, -4.957827, 0.000000, 0.705711, 0.044413, 0.044413, 0.705711
100000000.000000, -0.935050, -4.901857, 0.000000, 0.703969, 0.066543, 0.066543, 0.703969
150000000.000000, -1.242653, -4.838975, -0.000000, 0.701529, 0.088639, 0.088639, 0.701529
200000000.000000, -1.542319, -4.747191, -0.000000, 0.698403, 0.110607, 0.110607, 0.698403
250000000.000000, -1.838891, -4.644142, 0.000000, 0.694580, 0.132508, 0.132508, 0.694580
300000000.000000, -2.125255, -4.516935, -0.000000, 0.690081, 0.154235, 0.154235, 0.690081
350000000.000000, -2.405858, -4.376094, 0.000000, 0.684891, 0.175855, 0.175855, 0.684890
400000000.000000, -2.674572, -4.214947, 0.000000, 0.679035, 0.197258, 0.197258, 0.679035
450000000.000000, -2.934736, -4.039196, 0.000000, 0.672497, 0.218513, 0.218513, 0.672497
500000000.000000, -3.181730, -3.846402, 0.000000, 0.665309, 0.239509, 0.239509, 0.665309
550000000.000000, -3.417400, -3.638957, 0.000000, 0.657448, 0.260313, 0.260313, 0.657448
600000000.000000, -3.638958, -3.417399, -0.000000, 0.648954, 0.280817, 0.280817, 0.648954
650000000.000000, -3.846403, -3.181730, 0.000000, 0.639803, 0.301086, 0.301086, 0.639803
700000000.000000, -4.039196, -2.934735, 0.000000, 0.630039, 0.321015, 0.321015, 0.630039
750000000.000000, -4.214946, -2.674571, -0.000000, 0.619633, 0.340668, 0.340668, 0.619633
800000000.000000, -4.376094, -2.405857, 0.000000, 0.608639, 0.359942, 0.359942, 0.608639
850000000.000000, -4.516935, -2.125254, 0.000000, 0.597021, 0.378901, 0.378901, 0.597021
900000000.000000, -4.644141, -1.838890, -0.000000, 0.584840, 0.397445, 0.397445, 0.584840
950000000.000000, -4.747190, -1.542318, -0.000000, 0.572056, 0.415634, 0.415634, 0.572056
1000000000.000000, -4.838974, -1.242653, 0.000000, 0.558733, 0.433379, 0.433379, 0.558733
1050000000.000000, -4.901855, -0.935049, 0.000000, 0.544834, 0.450728, 0.450728, 0.544834
1100000000.000000, -4.957827, -0.626511, 0.000000, 0.530418, 0.467608, 0.467608, 0.530417
1150000000.000000, -4.978913, -0.313255, 0.000000, 0.515459, 0.484047, 0.484047, 0.515459
1200000000.000000, -5.000000, 0.000001, -0.000000, 0.500000, 0.500000, 0.500000, 0.500000
1250000000.000000, -4.978914, 0.313256, 0.000000, 0.484047, 0.515459, 0.515459, 0.484047
1300000000.000000, -4.957827, 0.626513, -0.000000, 0.467608, 0.530418, 0.530418, 0.467608
1350000000.000000, -4.901857, 0.935050, 0.000000, 0.450728, 0.544834, 0.544834, 0.450728
1400000000.000000, -4.838975, 1.242653, 0.000000, 0.433379, 0.558733, 0.558733, 0.433379
1450000000.000000, -4.747191, 1.542320, -0.000000, 0.415634, 0.572056, 0.572056, 0.415634
1500000000.000000, -4.644141, 1.838891, 0.000000, 0.397445, 0.584840, 0.584840, 0.397445
1550000000.000000, -4.516935, 2.125255, 0.000000, 0.378901, 0.597021, 0.597021, 0.378901
1600000000.000000, -4.376093, 2.405859, 0.000000, 0.359942, 0.608639, 0.608639, 0.359942
1650000000.000000, -4.214947, 2.674572, 0.000000, 0.340668, 0.619633, 0.619633, 0.340668
1700000000.000000, -4.039195, 2.934736, 0.000000, 0.321015, 0.630039, 0.630039, 0.321015
1750000000.000000, -3.846402, 3.181731, 0.000000, 0.301086, 0.639803, 0.639803, 0.301086
1800000000.000000, -3.638957, 3.417401, -0.000000, 0.280817, 0.648955, 0.648954, 0.280817
1850000000.000000, -3.417399, 3.638958, -0.000000, 0.260312, 0.657448, 0.657448, 0.260312
1900000000.000000, -3.181730, 3.846403, 0.000000, 0.239509, 0.665309, 0.665309, 0.239509
1950000000.000000, -2.934735, 4.039197, 0.000000, 0.218513, 0.672497, 0.672497, 0.218513
2000000000.000000, -2.674570, 4.214947, 0.000000, 0.197258, 0.679035, 0.679035, 0.197258
2050000000.000000, -2.405856, 4.376095, 0.000000, 0.175855, 0.684891, 0.684891, 0.175855
2100000000.000000, -2.125253, 4.516936, 0.000000, 0.154235, 0.690081, 0.690081, 0.154235
2150000000.000000, -1.838888, 4.644142, 0.000000, 0.132508, 0.694580, 0.694580, 0.132508
2200000000.000000, -1.542317, 4.747191, 0.000000, 0.110607, 0.698403, 0.698403, 0.110607
2250000000.000000, -1.242650, 4.838975, 0.000000, 0.088638, 0.701529, 0.701529, 0.088638
2300000000.000000, -0.935048, 4.901856, 0.000000, 0.066542, 0.703969, 0.703969, 0.066542
2350000000.000000, -0.626509, 4.957827, 0.000000, 0.044413, 0.705711, 0.705711, 0.044413
2400000000.000000, -0.313253, 4.978914, -0.000000, 0.022211, 0.706758, 0.706758, 0.022211
2450000000.000000, 0.000004, 5.000000, 0.000000, 0.000000, 0.707107, 0.707107, 0.000000
2500000000.000000, 0.313260, 4.978913, 0.000000, 0.022212, 0.706758, 0.706758, 0.022212
2550000000.000000, 0.626515, 4.957827, 0.000000, 0.044413, 0.705711, 0.705711, 0.044413
2600000000.000000, 0.935053, 4.901855, 0.000000, 0.066543, 0.703969, 0.703969, 0.066543
2650000000.000000, 1.242658, 4.838974, 0.000000, 0.088639, 0.701529, 0.701529, 0.088639
2700000000.000000, 1.542324, 4.747190, 0.000000, 0.110607, 0.698403, 0.698403, 0.110607
2750000000.000000, 1.838895, 4.644140, 0.000000, 0.132508, 0.694580, 0.694580, 0.132508
2800000000.000000, 2.125259, 4.516933, 0.000000, 0.154235, 0.690081, 0.690081, 0.154235
2850000000.000000, 2.405860, 4.376092, 0.000000, 0.175855, 0.684890, 0.684890, 0.175855
2900000000.000000, 2.674575, 4.214944, -0.000000, 0.197259, 0.679035, 0.679035, 0.197259
2950000000.000000, 2.934741, 4.039193, 0.000000, 0.218513, 0.672497, 0.672497, 0.218513
3000000000.000000, 3.181734, 3.846399, 0.000000, 0.239509, 0.665308, 0.665308, 0.239509
3050000000.000000, 3.417403, 3.638954, -0.000000, 0.260313, 0.657447, 0.657447, 0.260313
3100000000.000000, 3.638961, 3.417395, 0.000000, 0.280817, 0.648954, 0.648954, 0.280817
3150000000.000000, 3.846406, 3.181727, -0.000000, 0.301086, 0.639802, 0.639802, 0.301086
3200000000.000000, 4.039199, 2.934731, -0.000000, 0.321016, 0.630039, 0.630039, 0.321016
3250000000.000000, 4.214951, 2.674565, 0.000000, 0.340668, 0.619633, 0.619633, 0.340668
3300000000.000000, 4.376097, 2.405851, 0.000000, 0.359943, 0.608639, 0.608639, 0.359943
3350000000.000000, 4.516937, 2.125251, -0.000000, 0.378901, 0.597021, 0.597021, 0.378901
3400000000.000000, 4.644143, 1.838885, 0.000000, 0.397445, 0.584839, 0.584839, 0.397445
3450000000.000000, 4.747191, 1.542315, 0.000000, 0.415635, 0.572056, 0.572056, 0.415635
3500000000.000000, 4.838975, 1.242650, 0.000000, 0.433379, 0.558733, 0.558733, 0.433379
3550000000.000000, 4.901856, 0.935046, 0.000000, 0.450729, 0.544834, 0.544834, 0.450729
3600000000.000000, 4.957827, 0.626507, -0.000000, 0.467608, 0.530417, 0.530417, 0.467608
3650000000.000000, 4.978914, 0.313252, 0.000000, 0.484048, 0.515459, 0.515459, 0.484048
3700000000.000000, 5.000000, -0.000002, 0.000000, 0.500000, 0.500000, 0.500000, 0.500000
3750000000.000000, 4.978913, -0.313259, 0.000000, 0.515459, 0.484047, 0.484047, 0.515459
3800000000.000000, 4.957827, -0.626514, 0.000000, 0.530418, 0.467608, 0.467608, 0.530418
3850000000.000000, 4.901855, -0.935050, 0.000000, 0.544834, 0.450728, 0.450728, 0.544834
3900000000.000000, 4.838974, -1.242655, 0.000000, 0.558733, 0.433379, 0.433379, 0.558733
3950000000.000000, 4.747190, -1.542321, -0.000000, 0.572056, 0.415634, 0.415634, 0.572056
4000000000.000000, 4.644142, -1.838892, 0.000000, 0.584840, 0.397445, 0.397445, 0.584840
4050000000.000000, 4.516935, -2.125254, 0.000000, 0.597021, 0.378901, 0.378901, 0.597021
4100000000.000000, 4.376094, -2.405855, 0.000000, 0.608639, 0.359943, 0.359943, 0.608639
4150000000.000000, 4.214948, -2.674571, 0.000000, 0.619633, 0.340668, 0.340668, 0.619633
4200000000.000000, 4.039195, -2.934736, 0.000000, 0.630039, 0.321015, 0.321015, 0.630039
4250000000.000000, 3.846403, -3.181730, -0.000000, 0.639803, 0.301086, 0.301086, 0.639803
4300000000.000000, 3.638958, -3.417400, 0.000000, 0.648954, 0.280817, 0.280817, 0.648954
4350000000.000000, 3.417398, -3.638958, 0.000000, 0.657448, 0.260312, 0.260312, 0.657448
4400000000.000000, 3.181729, -3.846404, -0.000000, 0.665309, 0.239509, 0.239509, 0.665309
4450000000.000000, 2.934735, -4.039196, 0.000000, 0.672497, 0.218513, 0.218513, 0.672497
4500000000.000000, 2.674569, -4.214948, 0.000000, 0.679035, 0.197258, 0.197258, 0.679035
4550000000.000000, 2.405854, -4.376096, 0.000000, 0.684891, 0.175855, 0.175855, 0.684891
4600000000.000000, 2.125253, -4.516936, 0.000000, 0.690081, 0.154235, 0.154235, 0.690081
4650000000.000000, 1.838890, -4.644142, 0.000000, 0.694580, 0.132508, 0.132508, 0.694580
4700000000.000000, 1.542317, -4.747190, 0.000000, 0.698403, 0.110607, 0.110607, 0.698403
4750000000.000000, 1.242653, -4.838975, 0.000000, 0.701529, 0.088639, 0.088639, 0.701529
4800000000.000000, 0.935048, -4.901855, 0.000000, 0.703969, 0.066542, 0.066542, 0.703969
4850000000.000000, 0.626512, -4.957827, 0.000000, 0.705711, 0.044413, 0.044413, 0.705711
4900000000.000000, 0.313255, -4.978913, -0.000000, 0.706758, 0.022211, 0.022211, 0.706758
4950000000.000000, 0.000000, -5.000000, 0.000000, 0.707107, 0.000000, 0.000000, 0.707107
5000000000.000000, -0.313256, -4.978914, 0.000000, 0.706758, 0.022211, 0.022211, 0.706758
5050000000.000000, -0.626511, -4.957828, 0.000000, 0.705711, 0.044413, 0.044413, 0.705711
5100000000.000000, -0.935049, -4.901855, 0.000000, 0.703969, 0.066543, 0.066543, 0.703969
5150000000.000000, -1.242652, -4.838975, 0.000000, 0.701529, 0.088639, 0.088639, 0.701529
5200000000.000000, -1.542318, -4.747191, -0.000000, 0.698403, 0.110607, 0.110607, 0.698403
5250000000.000000, -1.838889, -4.644142, -0.000000, 0.694580, 0.132508, 0.132508, 0.694580
5300000000.000000, -2.125256, -4.516934, 0.000000, 0.690081, 0.154235, 0.154235, 0.690081
5350000000.000000, -2.405859, -4.376092, 0.000000, 0.684890, 0.175855, 0.175855, 0.684890
5400000000.000000, -2.674573, -4.214946, 0.000000, 0.679035, 0.197259, 0.197259, 0.679035
5450000000.000000, -2.934737, -4.039195, 0.000000, 0.672497, 0.218513, 0.218513, 0.672497
5500000000.000000, -3.181730, -3.846402, 0.000000, 0.665309, 0.239509, 0.239509, 0.665309
5550000000.000000, -3.417400, -3.638957, 0.000000, 0.657448, 0.260313, 0.260313, 0.657448
5600000000.000000, -3.638958, -3.417399, -0.000000, 0.648954, 0.280817, 0.280817, 0.648954
5650000000.000000, -3.846403, -3.181730, 0.000000, 0.639803, 0.301086, 0.301086, 0.639803
5700000000.000000, -4.039196, -2.934736, -0.000000, 0.630039, 0.321015, 0.321015, 0.630039
5750000000.000000, -4.214946, -2.674571, 0.000000, 0.619633, 0.340668, 0.340668, 0.619633
5800000000.000000, -4.376094, -2.405858, 0.000000, 0.608639, 0.359942, 0.359942, 0.608639
5850000000.000000, -4.516934, -2.125256, 0.000000, 0.597021, 0.378900, 0.378900, 0.597021
5900000000.000000, -4.644142, -1.838889, 0.000000, 0.584840, 0.397445, 0.397445, 0.584840
5950000000.000000, -4.747190, -1.542317, 0.000000, 0.572056, 0.415634, 0.415634, 0.572056
6000000000.000000, -4.838975, -1.242652, 0.000000, 0.558733, 0.433379, 0.433379, 0.558733
6050000000.000000, -4.901855, -0.935049, 0.000000, 0.544834, 0.450728, 0.450728, 0.544834
6100000000.000000, -4.957827, -0.626510, 0.000000, 0.530417, 0.467608, 0.467608, 0.530417
6150000000.000000, -4.978913, -0.313255, 0.000000, 0.515459, 0.484047, 0.484048, 0.515459
6200000000.000000, -5.000000, 0.000001, -0.000000, 0.500000, 0.500000, 0.500000, 0.500000
6250000000.000000, -4.978914, 0.313256, 0.000000, 0.484047, 0.515459, 0.515459, 0.484047
6300000000.000000, -4.957828, 0.626512, 0.000000, 0.467608, 0.530418, 0.530418, 0.467608
6350000000.000000, -4.901856, 0.935050, 0.000000, 0.450728, 0.544834, 0.544834, 0.450728
6400000000.000000, -4.838975, 1.242653, 0.000000, 0.433379, 0.558733, 0.558733, 0.433379
6450000000.000000, -4.747191, 1.542318, -0.000000, 0.415634, 0.572056, 0.572056, 0.415634
6500000000.000000, -4.644142, 1.838890, 0.000000, 0.397445, 0.584840, 0.584840, 0.397445
6550000000.000000, -4.516934, 2.125257, -0.000000, 0.378900, 0.597021, 0.597021, 0.378900
6600000000.000000, -4.376093, 2.405859, 0.000000, 0.359942, 0.608639, 0.608639, 0.359942
6650000000.000000, -4.214946, 2.674573, 0.000000, 0.340668, 0.619633, 0.619633, 0.340668
6700000000.000000, -4.039195, 2.934737, 0.000000, 0.321015, 0.630039, 0.630039, 0.321015
6750000000.000000, -3.846402, 3.181731, 0.000000, 0.301086, 0.639803, 0.639803, 0.301086
6800000000.000000, -3.638957, 3.417401, -0.000000, 0.280817, 0.648955, 0.648954, 0.280817
6850000000.000000, -3.417399, 3.638958, -0.000000, 0.260312, 0.657448, 0.657448, 0.260312
6900000000.000000, -3.181730, 3.846403, 0.000000, 0.239509, 0.665309, 0.665309, 0.239509
6950000000.000000, -2.934735, 4.039196, 0.000000, 0.218513, 0.672497, 0.672497, 0.218513
7000000000.000000, -2.674571, 4.214947, 0.000000, 0.197258, 0.679035, 0.679035, 0.197258
7050000000.000000, -2.405857, 4.376094, 0.000000, 0.175855, 0.684891, 0.684890, 0.175855
7100000000.000000, -2.125254, 4.516935, 0.000000, 0.154235, 0.690081, 0.690081, 0.154235
7150000000.000000, -1.838887, 4.644142, 0.000000, 0.132508, 0.694580, 0.694580, 0.132508
7200000000.000000, -1.542315, 4.747191, -0.000000, 0.110607, 0.698403, 0.698403, 0.110607
7250000000.000000, -1.242649, 4.838975, -0.000000, 0.088638, 0.701529, 0.701529, 0.088638
7300000000.000000, -0.935046, 4.901856, 0.000000, 0.066542, 0.703969, 0.703969, 0.066542
7350000000.000000, -0.626508, 4.957827, -0.000000, 0.044413, 0.705711, 0.705711, 0.044413
7400000000.000000, -0.313253, 4.978914, -0.000000, 0.022211, 0.706758, 0.706758, 0.022211
7450000000.000000, 0.000004, 5.000000, 0.000000, 0.000000, 0.707107, 0.707107, 0.000000
7500000000.000000, 0.313260, 4.978913, 0.000000, 0.022212, 0.706758, 0.706758, 0.022212
7550000000.000000, 0.626515, 4.957827, 0.000000, 0.044413, 0.705711, 0.705711, 0.044413
7600000000.000000, 0.935053, 4.901855, 0.000000, 0.066543, 0.703969, 0.703969, 0.066543
7650000000.000000, 1.242656, 4.838974, 0.000000, 0.088639, 0.701529, 0.701529, 0.088639
7700000000.000000, 1.542322, 4.747190, 0.000000, 0.110607, 0.698403, 0.698403, 0.110607
7750000000.000000, 1.838894, 4.644141, -0.000000, 0.132508, 0.694580, 0.694580, 0.132508
7800000000.000000, 2.125260, 4.516933, 0.000000, 0.154235, 0.690081, 0.690081, 0.154235
7850000000.000000, 2.405863, 4.376091, 0.000000, 0.175855, 0.684890, 0.684890, 0.175855
7900000000.000000, 2.674577, 4.214944, 0.000000, 0.197259, 0.679035, 0.679035, 0.197259
7950000000.000000, 2.934741, 4.039193, 0.000000, 0.218513, 0.672497, 0.672497, 0.218513
8000000000.000000, 3.181734, 3.846399, 0.000000, 0.239509, 0.665308, 0.665308, 0.239509
8050000000.000000, 3.417403, 3.638954, -0.000000, 0.260313, 0.657447, 0.657447, 0.260313
8100000000.000000, 3.638961, 3.417395, 0.000000, 0.280817, 0.648954, 0.648954, 0.280817
8150000000.000000, 3.846406, 3.181727, -0.000000, 0.301086, 0.639802, 0.639802, 0.301086
8200000000.000000, 4.039199, 2.934731, -0.000000, 0.321016, 0.630039, 0.630039, 0.321016
8250000000.000000, 4.214949, 2.674567, 0.000000, 0.340668, 0.619633, 0.619633, 0.340668
8300000000.000000, 4.376096, 2.405854, 0.000000, 0.359943, 0.608639, 0.608639, 0.359943
8350000000.000000, 4.516937, 2.125251, -0.000000, 0.378901, 0.597021, 0.597021, 0.378901
8400000000.000000, 4.644143, 1.838885, 0.000000, 0.397445, 0.584839, 0.584839, 0.397445
8450000000.000000, 4.747192, 1.542313, 0.000000, 0.415635, 0.572056, 0.572056, 0.415635
8500000000.000000, 4.838976, 1.242648, -0.000000, 0.433379, 0.558733, 0.558733, 0.433379
8550000000.000000, 4.901856, 0.935046, 0.000000, 0.450729, 0.544834, 0.544834, 0.450729
8600000000.000000, 4.957827, 0.626507, -0.000000, 0.467608, 0.530417, 0.530417, 0.467608
8650000000.000000, 4.978914, 0.313252, 0.000000, 0.484048, 0.515459, 0.515459, 0.484048
8700000000.000000, 5.000000, -0.000002, 0.000000, 0.500000, 0.500000, 0.500000, 0.500000
8750000000.000000, 4.978913, -0.313259, 0.000000, 0.515459, 0.484047, 0.484047, 0.515459
8800000000.000000, 4.957827, -0.626514, 0.000000, 0.530418, 0.467608, 0.467608, 0.530418
8850000000.000000, 4.901855, -0.935050, 0.000000, 0.544834, 0.450728, 0.450728, 0.544834
8900000000.000000, 4.838975, -1.242653, 0.000000, 0.558733, 0.433379, 0.433379, 0.558733
8950000000.000000, 4.747191, -1.542319, 0.000000, 0.572056, 0.415634, 0.415634, 0.572056
9000000000.000000, 4.644142, -1.838889, 0.000000, 0.584840, 0.397445, 0.397445, 0.584840
9050000000.000000, 4.516934, -2.125256, 0.000000, 0.597021, 0.378900, 0.378900, 0.597021
9100000000.000000, 4.376094, -2.405858, 0.000000, 0.608639, 0.359942, 0.359942, 0.608639
9150000000.000000, 4.214946, -2.674573, 0.000000, 0.619633, 0.340668, 0.340668, 0.619633
9200000000.000000, 4.039195, -2.934736, 0.000000, 0.630039, 0.321015, 0.321015, 0.630039
9250000000.000000, 3.846403, -3.181730, -0.000000, 0.639803, 0.301086, 0.301086, 0.639803
9300000000.000000, 3.638958, -3.417400, 0.000000, 0.648954, 0.280817, 0.280817, 0.648954
9350000000.000000, 3.417398, -3.638958, 0.000000, 0.657448, 0.260312, 0.260312, 0.657448
9400000000.000000, 3.181729, -3.846404, -0.000000, 0.665309, 0.239509, 0.239509, 0.665309
9450000000.000000, 2.934735, -4.039196, 0.000000, 0.672497, 0.218513, 0.218513, 0.672497
9500000000.000000, 2.674569, -4.214948, 0.000000, 0.679035, 0.197258, 0.197258, 0.679035
9550000000.000000, 2.405856, -4.376095, 0.000000, 0.684891, 0.175855, 0.175855, 0.684890
9600000000.000000, 2.125255, -4.516935, 0.000000, 0.690081, 0.154235, 0.154235, 0.690081
9650000000.000000, 1.838887, -4.644142, 0.000000, 0.694580, 0.132508, 0.132508, 0.694580
9700000000.000000, 1.542317, -4.747190, 0.000000, 0.698403, 0.110607, 0.110607, 0.698403
9750000000.000000, 1.242650, -4.838975, 0.000000, 0.701529, 0.088638, 0.088638, 0.701529
9800000000.000000, 0.935048, -4.901855, 0.000000, 0.703969, 0.066542, 0.066542, 0.703969
9850000000.000000, 0.626512, -4.957827, 0.000000, 0.705711, 0.044413, 0.044413, 0.705711
9900000000.000000, 0.313255, -4.978913, -0.000000, 0.706758, 0.022211, 0.022211, 0.706758
9950000000.000000, 0.000000, -5.000000, 0.000000, 0.707107, 0.000000, 0.000000, 0.707107
10000000000.000000, -0.313256, -4.978914, 0.000000, 0.706758, 0.022211, 0.022211, 0.706758
10050000000.000000, -0.626511, -4.957828, 0.000000, 0.705711, 0.044413, 0.044413, 0.705711
10100000000.000000, -0.935049, -4.901855, 0.000000, 0.703969, 0.066543, 0.066543, 0.703969
10150000000.000000, -1.242652, -4.838975, 0.000000, 0.701529, 0.088639, 0.088639, 0.701529
10200000000.000000, -1.542318, -4.747191, -0.000000, 0.698403, 0.110607, 0.110607, 0.698403
10250000000.000000, -1.838889, -4.644142, -0.000000, 0.694580, 0.132508, 0.132508, 0.694580
10300000000.000000, -2.125253, -4.516936, 0.000000, 0.690081, 0.154235, 0.154235, 0.690081
10350000000.000000, -2.405855, -4.376095, 0.000000, 0.684891, 0.175855, 0.175855, 0.684891
10400000000.000000, -2.674570, -4.214948, 0.000000, 0.679035, 0.197258, 0.197258, 0.679035
10450000000.000000, -2.934734, -4.039197, -0.000000, 0.672497, 0.218513, 0.218513, 0.672497
10500000000.000000, -3.181727, -3.846405, 0.000000, 0.665309, 0.239509, 0.239509, 0.665309
10550000000.000000, -3.417398, -3.638960, -0.000000, 0.657448, 0.260312, 0.260312, 0.657448
10600000000.000000, -3.638960, -3.417397, 0.000000, 0.648954, 0.280817, 0.280817, 0.648954
10650000000.000000, -3.846405, -3.181727, 0.000000, 0.639802, 0.301086, 0.301086, 0.639802
10700000000.000000, -4.039198, -2.934733, 0.000000, 0.630039, 0.321015, 0.321015, 0.630039
10750000000.000000, -4.214949, -2.674568, -0.000000, 0.619633, 0.340668, 0.340668, 0.619633
10800000000.000000, -4.376095, -2.405854, 0.000000, 0.608639, 0.359943, 0.359943, 0.608639
10850000000.000000, -4.516936, -2.125252, 0.000000, 0.597021, 0.378901, 0.378901, 0.597021
10900000000.000000, -4.644142, -1.838889, 0.000000, 0.584840, 0.397445, 0.397445, 0.584840
10950000000.000000, -4.747190, -1.542317, 0.000000, 0.572056, 0.415634, 0.415634, 0.572056
11000000000.000000, -4.838975, -1.242652, 0.000000, 0.558733, 0.433379, 0.433379, 0.558733
11050000000.000000, -4.901855, -0.935049, 0.000000, 0.544834, 0.450728, 0.450728, 0.544834
11100000000.000000, -4.957827, -0.626510, 0.000000, 0.530417, 0.467608, 0.467608, 0.530417
11150000000.000000, -4.978913, -0.313255, 0.000000, 0.515459, 0.484047, 0.484048, 0.515459
11200000000.000000, -5.000000, 0.000001, -0.000000, 0.500000, 0.500000, 0.500000, 0.500000
11250000000.000000, -4.978914, 0.313256, 0.000000, 0.484047, 0.515459, 0.515459, 0.484047
11300000000.000000, -4.957828, 0.626512, 0.000000, 0.467608, 0.530418, 0.530418, 0.467608
11350000000.000000, -4.901856, 0.935050, 0.000000, 0.450728, 0.544834, 0.544834, 0.450728
11400000000.000000, -4.838975, 1.242653, 0.000000, 0.433379, 0.558733, 0.558733, 0.433379
11450000000.000000, -4.747191, 1.542318, -0.000000, 0.415634, 0.572056, 0.572056, 0.415634
11500000000.000000, -4.644142, 1.838890, 0.000000, 0.397445, 0.584840, 0.584840, 0.397445
11550000000.000000, -4.516935, 2.125254, 0.000000, 0.378901, 0.597021, 0.597021, 0.378901
11600000000.000000, -4.376094, 2.405855, 0.000000, 0.359943, 0.608639, 0.608639, 0.359943
11650000000.000000, -4.214948, 2.674570, 0.000000, 0.340668, 0.619633, 0.619633, 0.340668
11700000000.000000, -4.039196, 2.934734, 0.000000, 0.321015, 0.630039, 0.630039, 0.321015
11750000000.000000, -3.846405, 3.181728, 0.000000, 0.301086, 0.639802, 0.639802, 0.301086
11800000000.000000, -3.638959, 3.417398, -0.000000, 0.280817, 0.648954, 0.648954, 0.280817
11850000000.000000, -3.417396, 3.638961, 0.000000, 0.260312, 0.657448, 0.657448, 0.260312
11900000000.000000, -3.181727, 3.846406, 0.000000, 0.239509, 0.665309, 0.665309, 0.239509
11950000000.000000, -2.934732, 4.039198, -0.000000, 0.218513, 0.672497, 0.672497, 0.218513
12000000000.000000, -2.674567, 4.214949, 0.000000, 0.197258, 0.679036, 0.679036, 0.197258
12050000000.000000, -2.405854, 4.376096, 0.000000, 0.175855, 0.684891, 0.684891, 0.175855
12100000000.000000, -2.125251, 4.516937, 0.000000, 0.154234, 0.690081, 0.690081, 0.154234
12150000000.000000, -1.838887, 4.644142, 0.000000, 0.132508, 0.694580, 0.694580, 0.132508
12200000000.000000, -1.542315, 4.747191, -0.000000, 0.110607, 0.698403, 0.698403, 0.110607
12250000000.000000, -1.242649, 4.838975, -0.000000, 0.088638, 0.701529, 0.701529, 0.088638
12300000000.000000, -0.935046, 4.901856, 0.000000, 0.066542, 0.703969, 0.703969, 0.066542
12350000000.000000, -0.626508, 4.957827, -0.000000, 0.044413, 0.705711, 0.705711, 0.044413
12400000000.000000, -0.313253, 4.978914, -0.000000, 0.022211, 0.706758, 0.706758, 0.022211
